danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,qual
0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,spotify:track:3N2AIfVOq6NiTcWHIP4Oco,213024,4,0
0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,spotify:track:2u7Nm46dAujcAi5Rw79CJL,182493,4,0
0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,196800,3,0
0.56,0.679,5,-4.527,1,0.0236,0.123,0.0000246,0.224,0.622,92.928,spotify:track:1Be8liECvEP5NYZjYvukbI,198467,4,0
0.489,0.9,7,-3.563,1,0.0488,0.0441,0,0.247,0.611,200.054,spotify:track:3IPkbTA8KkdDXyWtGkfFXa,182693,4,0
0.791,0.715,7,-5.809,1,0.0377,0.353,0,0.115,0.593,112.027,spotify:track:5H4YGepZNnPhnOHA9vZSEP,166787,4,0
0.687,0.75,11,-4.537,1,0.0965,0.107,0.00000305,0.161,0.911,98.987,spotify:track:7M1PQZeyqslVtY5ZiYBGLo,172534,4,0
0.588,0.868,10,-4.904,1,0.0384,0.0351,0,0.118,0.559,92.021,spotify:track:4EIW00kTdPSUDOJwkN80x5,183871,4,0
0.846,0.711,0,-7.939,1,0.061,0.496,0,0.247,0.883,120.013,spotify:track:6UsoV6X96Rox9mfxoz7SFy,197840,4,0
0.494,0.78,11,-3.825,1,0.064,0.368,0,0.0921,0.664,159.708,spotify:track:2gVBXeTjwL0ZEh9gjsQjk0,211427,4,0
0.725,0.437,6,-9.602,1,0.0575,0.593,0,0.0842,0.759,83.985,spotify:track:6usHXaTn54uwwozmH00d3X,184080,4,0
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,163870,4,0
0.488,0.637,10,-7.63,1,0.0401,0.265,0,0.106,0.23,88.872,spotify:track:1KTLLe980WR4RLKg74Ud6e,208653,4,0
0.692,0.692,2,-6.065,1,0.0818,0.189,0,0.0884,0.75,153.255,spotify:track:6QkObBYNxVVUYt4FSpnTqY,160107,4,0
0.551,0.801,6,-5.069,1,0.0303,0.013,0.00000603,0.265,0.625,128.027,spotify:track:1mMLMZYXkMueg65jRRWG1l,240760,4,0
0.716,0.718,0,-5.355,1,0.0293,0.0896,0,0.473,0.537,100.934,spotify:track:7rdK9NSJIRBZAiXC0vuBS9,185707,4,0
0.707,0.632,10,-7.031,1,0.0789,0.103,0.0000109,0.0841,0.372,97.04,spotify:track:09ts3GnICqYEU5PkQCpJK3,278893,4,0
0.564,0.904,7,-3.808,1,0.0582,0.00719,0,0.528,0.637,124.102,spotify:track:2BgunkkepMPFpArQj1Dx5s,160991,4,0
0.587,0.863,4,-4.803,1,0.04,0.161,0,0.159,0.537,160.167,spotify:track:2N2EoS0dVmkNT0tfI0OYUA,184156,4,0
0.543,0.836,6,-5.477,1,0.055,0.00909,0,0.162,0.695,120.071,spotify:track:0TiyDTDc569zUUa9wyiRD7,178772,4,0
0.599,0.931,11,-3.662,1,0.0517,0.0285,0,0.102,0.788,111.012,spotify:track:2p2cCrOaNrIOLk5ArtlHy6,180302,4,0
0.501,0.876,3,-4.792,1,0.0404,0.0106,0,0.135,0.681,159.025,spotify:track:5gfK6bZFaApxdSHsHXrwPD,175493,4,0
0.659,0.902,7,-6.192,1,0.0296,0.13,0.0000945,0.0574,0.809,124.985,spotify:track:77a5Eu7lC3tG0Sukt2O91U,230013,4,0
0.603,0.625,6,-6.563,1,0.0258,0.302,0,0.141,0.651,96.02,spotify:track:0Is6MRHWKe7y2xIxDkvO6l,192920,4,0
0.557,0.571,10,-8.106,1,0.0281,0.476,0.00114,0.101,0.392,80.981,spotify:track:5slddJ629YcePvqD6Uyk8r,219600,4,0
0.687,0.625,1,-6.942,0,0.0284,0.042,0,0.151,0.866,104.027,spotify:track:7AK5vh1cRnO3YxAjOjL4Yy,195418,4,0
0.492,0.681,6,-7.038,1,0.075,0.143,0,0.199,0.511,178.01,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,212445,4,0
0.474,0.583,4,-7.093,1,0.0469,0.00651,0,0.128,0.366,148.051,spotify:track:0wyja8xD9cNhDtfuY0dVMP,195667,4,0
0.434,0.831,8,-4.774,1,0.0453,0.0651,0,0.119,0.596,156.034,spotify:track:6CyJlVAEFlNdpggOLanytL,185440,4,0
0.597,0.721,9,-6.422,1,0.0356,0.0362,0,0.0832,0.437,132.054,spotify:track:6LF5IVPG7xBcvPgI6Bfcsl,149293,4,0
0.631,0.658,5,-5.313,1,0.0281,0.144,0,0.22,0.7,80.996,spotify:track:2Nc8Imt04W3ZmcBF8dPQKc,227573,4,0
0.51,0.386,1,-8.391,1,0.0307,0.456,0,0.252,0.266,86.36,spotify:track:7uVkYr8gxcPEgqohvynpdN,199436,4,0
0.59,0.881,6,-2.898,1,0.0349,0.0913,0,0.157,0.734,129.928,spotify:track:3LhzpgimYSZhTx5KuchwVX,196240,4,0
0.49,0.88,7,-5.185,1,0.0731,0.081,0,0.103,0.493,91.93,spotify:track:1dbRZljBhUrIFrpLTXOXqq,170440,4,0
0.663,0.738,7,-5.48,1,0.0303,0.032,0.000225,0.0856,0.825,130.02,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,157080,4,0
0.549,0.751,9,-5.423,1,0.0299,0.122,0,0.208,0.493,89.953,spotify:track:3I7krC8kr0gFR7P6vInR1I,234306,4,0
0.526,0.85,10,-4.47,0,0.0313,0.023,0,0.0948,0.338,141.973,spotify:track:3yHTTHbT058Ow0favhZO38,184173,4,0
0.557,0.807,7,-5.428,1,0.0825,0.189,0,0.234,0.578,81.045,spotify:track:5Zx1zVpDJsNgyY3HvNfsfC,171493,4,0
